z\w	0	12	24	36	48	60	72	84	96	108	120
0	11.45	11.45	11.21	10.50	11.09	11.09	11.09	11.45	11.45	11.45	11.45
11.14285714	11.45	11.45	10.39	10.38	11.12	11.17	11.09	11.09	11.09	11.09	11.45
22.28571429	10.75	10.90	10.27	10.24	10.68	10.97	11.09	11.09	11.09	11.09	11.45
33.42857143	11.09	10.56	10.21	10.43	10.69	10.95	11.09	11.09	11.09	11.09	11.45
44.57142857	11.45	10.43	9.94	10.15	10.83	11.11	11.09	11.09	11.09	11.09	11.45
55.71428571	11.45	11.45	10.74	10.92	11.22	10.78	11.09	11.09	11.09	11.09	11.45
66.85714286	11.45	11.45	10.81	11.00	11.10	10.87	11.09	11.09	11.09	11.09	11.45
78	11.45	11.45	11.07	11.20	11.21	11.21	11.09	11.09	11.09	11.09	11.45
89.14285714	11.45	11.45	11.01	11.16	11.13	11.19	11.03	11.09	11.09	11.09	11.45
100.2857143	11.45	11.45	10.98	11.11	11.17	11.15	11.09	11.09	11.09	11.09	11.09
111.4285714	11.45	11.45	11.45	11.18	11.08	11.08	11.09	11.09	11.09	11.09	11.09
122.5714286	11.45	11.45	11.45	11.05	10.91	11.02	11.09	11.09	11.09	11.09	11.34
133.7142857	11.45	11.45	11.45	11.16	10.78	10.98	11.09	11.09	11.09	11.09	11.09
144.8571429	11.45	11.45	11.45	11.00	9.90	9.74	10.61	11.03	11.09	11.09	11.09
156	11.45	11.45	11.29	10.91	10.00	10.82	11.09	10.90	11.09	11.09	11.09
167.1428571	11.45	11.45	11.11	11.06	10.06	10.57	11.09	11.07	11.09	11.09	11.09
178.2857143	11.45	11.04	11.16	10.81	9.91	10.58	10.07	11.00	11.09	11.09	11.09
189.4285714	10.62	10.47	10.34	11.10	11.03	10.64	9.96	11.10	11.09	11.09	11.09
200.5714286	9.91	10.15	9.80	11.07	11.05	9.93	10.56	11.21	11.09	11.09	11.09
211.7142857	10.53	10.37	10.41	11.04	11.09	8.78	11.09	11.14	11.09	11.09	11.09
222.8571429	10.57	10.58	9.74	10.63	11.08	8.91	10.94	11.20	11.09	11.09	11.03
234	11.01	10.94	9.29	10.28	10.78	10.83	11.09	11.08	11.19	11.09	11.19
245.1428571	10.99	11.09	10.57	9.74	9.85	10.73	11.09	11.09	10.72	11.09	11.16
256.2857143	11.09	11.09	9.53	3.34	8.64	10.58	11.09	11.09	11.09	11.02	11.09
267.4285714	11.09	10.44	10.45	9.46	8.08	10.76	10.92	11.09	11.09	11.09	11.09
278.5714286	11.09	10.70	10.49	8.78	9.01	10.83	11.09	11.09	11.09	11.09	11.09
289.7142857	11.09	11.09	10.11	10.69	5.84	10.69	11.09	11.09	11.09	11.09	11.09
300.8571429	11.09	11.09	9.76	10.83	10.28	10.91	11.09	11.09	11.09	11.09	11.09
312	11.09	10.50	10.52	9.89	10.66	10.98	11.09	11.09	11.09	11.09	11.09
323.1428571	11.09	10.69	10.39	8.33	10.91	11.00	11.09	11.09	11.09	11.09	11.09
334.2857143	11.09	10.58	10.33	10.67	11.12	10.70	11.09	11.09	11.09	11.09	11.09
345.4285714	10.99	10.38	10.67	11.04	10.70	10.97	11.09	11.09	11.09	11.45	11.45
356.5714286	11.27	10.81	10.81	10.49	11.29	11.09	10.92	11.09	11.09	11.45	11.45
367.7142857	11.09	11.15	11.23	11.16	11.09	11.09	11.09	11.45	11.45	11.45	11.45
378.8571429	11.09	11.09	11.09	11.09	11.09	11.45	11.45	11.45	11.45	11.45	11.45
390	11.09	11.09	11.09	11.09	11.09	11.45	11.45	11.45	11.45	11.45	11.45
