log dist. [m];gridzone;easting [m];northing [m];heighting [m];event / comment;J. no.;J. len [m];t [mm];to u/s w. [m];o'clock;depth [%];ERF;length [mm];width [mm];internal
-3.41;22;592585.6544;7621851.201;453.737;Area Start_Data Recording;;;;;;;;;;
0;22;592589.074;7621851.247;453.749;Valve  / No. 1 - VES-10500;;;;;;;;;;
3.27;22;592592.3494;7621851.291;453.7605;Support;;;;;6:00;;;;;
5.72;22;592594.8018;7621851.317;453.7645;Tee;;;;;12:00;;;;;
7.41;22;592596.4951;7621851.331;453.7666;Support;;;;;6:00;;;;;
8.63;22;592597.7098;7621851.338;453.7642;Flange;;;;;;;;;;
9.24;22;592598.3287;7621851.341;453.7621;Area End_Launcher;10;11.49;16.51;;;;;;;
20.73;22;592609.7236;7621851.363;452.6041;Girth Weld;20;3.22;16.51;;;;;;;
23.95;22;592612.8349;7621851.378;451.7736;Girth Weld;30;12.22;16.51;;;;;;;
36.16;22;592624.8435;7621851.479;449.7767;Girth Weld;40;10.32;16.51;;;;;;;
46.48;22;592635.1802;7621851.613;449.7604;Girth Weld;50;12.37;16.51;;;;;;;
58.85;22;592647.5503;7621851.616;449.2373;Girth Weld;60;11.99;16.51;;;;;;;
70.85;22;592659.5244;7621851.649;448.4843;Girth Weld;70;11.89;16.51;;;;;;;
82.74;22;592671.4023;7621852.423;448.4811;Girth Weld;80;12.32;16.51;;;;;;;
86.98;22;592675.6258;7621852.867;448.6531;Area Start_Casing;;;16.51;;;;;;;
95.06;22;592683.6618;7621853.754;448.9683;Girth Weld;90;12.34;16.51;;;;;;;
107.4;22;592695.9333;7621855.186;449.2871;Girth Weld;100;12.33;16.51;;;;;;;
119.73;22;592708.1972;7621856.632;449.4444;Girth Weld;110;11.93;16.51;;;;;;;
131.66;22;592720.0615;7621858.034;449.4232;Girth Weld;120;12.38;16.51;;;;;;;
139.58;22;592727.9387;7621858.945;449.278;Area End_Casing;;;16.51;;;;;;;
144.04;22;592732.373;7621859.445;449.1514;Girth Weld;130;12.28;16.51;;;;;;;
156.32;22;592744.6085;7621859.732;449.0755;Girth Weld;140;12.32;16.51;;;;;;;
168.64;22;592756.7788;7621857.768;449.47;Girth Weld;150;12.23;16.51;;;;;;;
180.87;22;592768.8549;7621855.76;449.854;Area Start_wall thickness Change <;160;11.68;11.45;;;;;;;
192.55;22;592780.3713;7621853.735;450.1145;Girth Weld;170;12.27;11.45;;;;;;;
204.82;22;592792.4642;7621851.552;450.307;Girth Weld;180;12.29;11.45;;;;;;;
217.11;22;592804.5799;7621849.369;450.4621;Girth Weld;190;12.25;11.45;;;;;;;
229.37;22;592816.6686;7621847.277;450.753;Girth Weld;200;12.28;11.45;;;;;;;
241.64;22;592828.8011;7621845.322;451.1385;Girth Weld;210;12.28;11.45;;;;;;;
253.93;22;592840.9383;7621843.348;451.4017;Girth Weld;220;12.28;11.45;;;;;;;
266.21;22;592853.0664;7621841.302;451.392;Girth Weld;230;12.32;11.45;;;;;;;
278.53;22;592865.2346;7621839.259;451.3536;Girth Weld;240;11.33;11.45;;;;;;;
289.86;22;592876.4238;7621837.39;451.3599;Girth Weld;250;12.32;11.45;;;;;;;
302.18;22;592888.5843;7621835.294;451.3805;Girth Weld;260;12.28;11.45;;;;;;;
314.46;22;592900.7071;7621833.228;451.3855;Girth Weld;270;12.21;11.45;;;;;;;
326.67;22;592912.7641;7621831.182;451.4275;Girth Weld;280;12.3;11.45;;;;;;;
338.97;22;592924.9103;7621829.116;451.4646;Girth Weld;290;12.28;11.45;;;;;;;
351.26;22;592937.0351;7621827.032;451.5089;Girth Weld;300;12.27;11.45;;;;;;;
363.53;22;592949.1396;7621824.92;451.6027;Girth Weld;310;12.32;11.45;;;;;;;
375.85;22;592961.2965;7621822.805;451.6651;Girth Weld;320;12.27;11.45;;;;;;;
388.12;22;592973.4089;7621820.726;451.7025;Girth Weld;330;12.32;11.45;;;;;;;
400.44;22;592985.571;7621818.676;451.7165;Girth Weld;340;12.29;11.45;;;;;;;
412.73;22;592997.7067;7621816.62;451.6935;Girth Weld;350;12.32;11.45;;;;;;;
425.05;22;593009.8678;7621814.558;451.6659;Girth Weld;360;12.13;11.45;;;;;;;
437.18;22;593021.8521;7621812.546;451.593;Girth Weld;370;12.33;11.45;;;;;;;
449.51;22;593034.0183;7621810.443;451.5882;Girth Weld;380;12.32;11.45;;;;;;;
461.83;22;593046.1731;7621808.326;451.5921;Girth Weld;390;12.34;11.45;;;;;;;
474.17;22;593058.355;7621806.274;451.5807;Girth Weld;400;12.32;11.45;;;;;;;
486.49;22;593070.5309;7621804.262;451.4682;Girth Weld;410;12.44;11.45;;;;;;;
498.94;22;593082.9232;7621803.57;451.3631;Girth Weld;420;11.93;11.45;;;;;;;
510.87;22;593094.8307;7621804.554;451.3465;Girth Weld;430;12.32;11.45;;;;;;;
523.19;22;593107.1304;7621805.529;451.2735;Girth Weld;440;12.32;11.45;;;;;;;
535.51;22;593119.4274;7621806.515;451.2249;Girth Weld;450;12.33;11.45;;;;;;;
547.83;22;593131.7318;7621807.498;451.2809;Girth Weld;460;12.32;11.45;;;;;;;
560.15;22;593144.0332;7621808.466;451.2647;Girth Weld;470;12.32;11.45;;;;;;;
572.48;22;593156.3281;7621809.494;451.1319;Girth Weld;480;12.31;11.45;;;;;;;
584.78;22;593168.6062;7621810.562;450.9824;Girth Weld;490;12.27;11.45;;;;;;;
597.05;22;593180.8516;7621811.596;450.8667;Girth Weld;500;12.31;11.45;;;;;;;
609.37;22;593193.138;7621812.592;450.7367;Girth Weld;510;12.34;11.45;;;;;;;
621.71;22;593205.4556;7621813.62;450.5763;Girth Weld;520;12.31;11.45;;;;;;;
634.02;22;593217.7361;7621814.691;450.4735;Girth Weld;530;12.33;11.45;;;;;;;
646.34;22;593230.0341;7621815.735;450.3847;Girth Weld;540;12.32;11.45;;;;;;;
658.66;22;593242.329;7621816.73;450.2829;Girth Weld;550;12.31;11.45;;;;;;;
670.98;22;593254.6192;7621817.748;450.2092;Girth Weld;560;12.32;11.45;;;;;;;
683.3;22;593266.9147;7621818.782;450.1006;Girth Weld;570;12.32;11.45;;;;;;;
695.62;22;593279.2074;7621819.796;449.94;Girth Weld;580;12.34;11.45;;;;;;;
707.96;22;593291.523;7621820.806;449.8216;Girth Weld;590;12.27;11.45;;;;;;;
