log distance [m];gridzone;easting [m];northing [m];height [m];event / comment;J. no.;J. len [m];t [mm];to u/s w. [m];o'clock;depth [%];ERF;length [mm];width [mm];internal
-5.86;22;592583.2045;7621851.197;453.7562;AS_DatRec;;;;;;;;;;
-4.6;22;592584.4625;7621851.208;453.7549;Tee;;;;;3:00;;;;;
0;22;592589.074;7621851.247;453.75;Valve  / No. 1 - VES-10500;;;;;;;;;;
1.57;22;592590.6445;7621851.26;453.7483;Offtake;;;;;12:00;;;;;
3.27;22;592592.3513;7621851.275;453.7465;Support;;;;;6:00;;;;;
5.72;22;592594.8039;7621851.288;453.737;Tee;;;;;12:00;;;;;
7.41;22;592596.4973;7621851.294;453.7303;Support;;;;;6:00;;;;;
8.63;22;592597.712;7621851.296;453.7229;Flange;;;;;;;;;;
9.24;22;592598.3308;7621851.296;453.7191;AE_Launch  / nom. wt = 16.51 mm;10;11.49;16.51;;;;;;;
20.62;22;592609.5496;7621851.269;452.1487;MELO-MIFE  / p. grinding;;;;-11.38;9:36;15;;29;18;YES
20.73;22;592609.6537;7621851.269;452.1204;GirthWeld;20;3.22;16.51;;;;;;;
23.95;22;592612.7547;7621851.271;451.276;GirthWeld;30;12.2;16.51;;;;;;;
36.15;22;592624.7864;7621851.33;449.6555;GirthWeld;40;10.34;16.51;;;;;;;
46.48;22;592635.1386;7621851.425;449.5517;GirthWeld;50;12.35;16.51;;;;;;;
58.83;22;592647.4695;7621851.33;448.8278;GirthWeld;60;12.01;16.51;;;;;;;
70.85;22;592659.4636;7621851.432;448.1295;GirthWeld;70;11.87;16.51;;;;;;;
82.72;22;592671.3179;7621852.264;448.1311;GirthWeld;80;12.34;16.51;;;;;;;
86.98;22;592675.5633;7621852.703;448.2808;AS_Casing;;;;;;;;;;
95.06;22;592683.6051;7621853.576;448.5399;GirthWeld  / under casing;90;12.34;16.51;;;;;;;
107.4;22;592695.8837;7621854.984;448.7785;GirthWeld  / under casing;100;12.31;16.51;;;;;;;
119.71;22;592708.1296;7621856.401;448.8696;GirthWeld  / under casing;110;11.93;16.51;;;;;;;
131.64;22;592719.9992;7621857.779;448.7787;GirthWeld  / under casing;120;12.4;16.51;;;;;;;
